article_id,headline,text
044-MGD-1879-09-03-PG001-SINGLE-ORIGNAME_230281_toc_1,,"  בעיר ואוי ש —  יוצא לאור פעם אחת בכל שבוע. מחירו  בארצנו 12 מארק לשנה,  3 מארק לרבע. בעסט ה רייך 8 פל׳ ע""זו א לשנה. 2 פל׳ ע״וו לרבע.  בשאריארצות 20 פראנקם! א לשנה. — אב - ב""."
044-MGD-1879-09-03-PG001-SINGLE-ORIGNAME_230281_toc_2,, — כל איש יוכל להשיגו! ע״י כל פאסט-אמס! ובוכהאנדלונג בכל  המדינות. כל החפץ! להודיע דבר מה ברבים! לטובתו עליו לשלם שכר הדפסה בעד כל שורה! 15 פפ׳ —
044-MGD-1879-09-03-PG001-SINGLE-ORIGNAME_230281_toc_3,, חדשות וקורות הימים. יגיד ליעקב מהנעשה והנשמע בכל חלקי תבל בין כל יושבי חלד אשר ינעם ואשר ראוי לדעת לכל איש ישראלי לתועלתו ולתועלת השפה העבריה. מאת י אליעזר ליפמאן זילבערמאן. והאמת והשלום אהבו. (זכרים ח').
044-MGD-1879-09-03-PG001-SINGLE-ORIGNAME_230281_toc_4,"הוכן הענינים* * בו ר ט עץןרת ,על חטדינות...", תוכן הענינים. על המדינות בו יאמר: דייטשלאנד: טילזיט. עסטרייך: אשפצין. ענגלאנד: מאנשעסטער. רוסלאנד: פעטערסבורג. בולגאריען: רוסטשוק. אזיען: ירושלים. ידיעות אחרונות: . הצופה. נשך ותרבית: מאת הרב שלמה זלמן ברודא. דברי הלוי: מאת יעקב צבי הלוי לעוו. אל תמנע טוב מבעליו: מאת ל״ג. אין זכרון לראשונים: מאת חיים ליב מארקאן. הודעות:
044-MGD-1879-09-03-PG001-SINGLE-ORIGNAME_230281_toc_5,"על המדינות בו יאמר.
(דייטשלאנד). כל הקורא את דברי הריבות, החרופים"," על המדינות בו יאמר. (דייטשלאנד). כל הקורא את דברי הריבות, החרופים והגדופים בכתבי העתים משתי הממלכות האדירות הקרובות זו לזו, והן רוססלאנד ודייטשלאנד; כל מי אשר התבונן איך במשך הירחים האחרונים מתחולל רוח שנאה ומשטמה נוראה בכה״ע הרוסים על כל אשר בשם אשכנז יכונה ואיך כתבי העת באשכנז ובאיזה סגנון עונים הם על הגדופים ההם, ההוא יכול להאמין כי עומדות רגלינו בשערי מלחמה הקרובה לפרוץ בזעם בין שתי הממלכות האדירות ההן. זה שנים כבירות אשר לא שמעו דברים קשים ומרים כאלה בכתבי דברי הימים, כן הפרטיים וכן אלה אשר רוח הממשלות דובר בם, כאשר נשמעים כעת בכה״ע משתי הממלכות הנזכרות אשר חיו עד היום באהבה ושלוח. ברוססלאנד משמיעים כמעט כל כתבי העת פה (ורק מעטים יוצאים מהכלל) קול שאון והמולה קול חוצב לחבות אש המשטמה על אשכנז אשר יוכלו יושביה (אשכנז) לפחד כל היום מצבאות חיל אשר יפרוצו בגבולם. כתבי העת באשכנז בתשובותיהם מצדם מדברים בשפה ברורה ונמרצה כאלו עומדים חם הכן בכל עת ובכל שעה לקבל פני אויביהם לא בסבר פנים יפות. הדבר הגיע למצב כזה אשר ריב הדברים לא יוכל עוד להיות נחשב כויכוח בין כתבי-העת אך כהכחת דברים חרת-סכנה בין שרי המלוכה המופקדים על עניני חוץ בשתי ממלכות. נראה כאלו שרי המלוכה אומרים זה לזה באמצעות כתבי העתים, את כל אשר בלבם, ואשר קשה היה להם לעשות באופן זה באמצעות הדיפלאמאטיע אשר לפי הנודע, שקל תשקול כל הנה כל דבור בפלס ובמאזנים. על דברי אחד ממכה״ע ברוסלאנד אשר בדברו אדות כה״ע הרוסים המדברים סרה על אשכנז, אמר כי השרים המופקדים על עניני כה״ע ברוססלאנד אינם מתערבים מאומה בזה ועומדים מנגד, אומר מכה״ע: נארד. אללג. צייט. אשר הנהו זלפה למחשבות ממשלתנו לאמר: אנחנו לא נוכל למצא סיבה אחרת להשנאה הכבושה הגראית כעת בכה״ע ברוססלאנד על אשכנז רק בזה כי יד הניהיליסטים במעל ההוא, המסיתים את כה״ע והמשתדלים להטיל שנאה בין שתי הממלכות האדירות אשר עומדות כעת על המצפה שלא לתת לרוח הזמן החדש לעקור מן השורש כל סדרי אייראפא ולבנות כמו רמים את היכלי מחשבתם על משואלת חרבותיה. אבל זאת לא נוכל להבין מדוע פקידים גדולים בממשלה אשר יש בידם למחות לפעולות כה״ע, ואינם עושים מאומה, ומניחים לכה״ע לערות את שלו שתי הממלכות עד היסוד בו״? מה הוא מחשבתם בהניחם להרוס את בנין השלום בין רוססלאנד ואשכנז אשר עמד על תלו זה יותר ממאה שנים, לתהלת ולהצלחת שתיהן יחד? אם יצליח להם אשר יפול הבנין ההוא למשואות באחד הימים, אז אשם האסון האיום אשר יבא אל רבבות אנשים מההריסה ההיא יפול על ראשם ואנחנו נקיים״! עכ״ל. והנה, הסיבה האמיתית אשר הסבה פתאום את כל הרעש והמהומה בין שתי הממלכות האדירות ההן אשר ישבו לבטח יחד עד היום, אין לדעת, ועוד תשאר בערפל חתולתה לזמן כביר. רבים אומרים כי אין לחפש מקור השנאה של הרוססים על אשכנז בהפאליטיק האשכנזית החצונית, רק בהפאליטיק שלח הפנימית, והוא דבר חוקי המכס החדשים הנועדים להרע ולחזיק להמסחר של רוסלאנד בכלל. על כל פנים מאמינים אנחנו כי גם סער כתבי-העתים הזה יעבור ויחלוף מבלי להשאיר אחריו רושם שאיה והריסה, אף כי ידאב לב כל איש אוהב השלום לראות מראות מוזרים כאלה המתראים כעננים וברקים ביום צח ובחיר. מאמינים אנחנו כי שמחת רבים מהצרפתים וביחוד אלה מבעלי ברית נאפאלעאן השמחים אלי גיל על השנאה והאיבה אשר פרצה פתאום בין רוססלאנד ואשכנז הבונים תקות נקמתם מפרייסען לימים יבואו על הפירוד ההוא אשר לפי דעתם ההבערה ללהב תצא על שוא נוסדה. האהבה בין שני המושלים האדירים משתי הממלכות ההן אהבת איתן היא, וכל הרוחות הרעות לא יזיזוה ממקומה וכל שטף מים רבים אליה לא יגיע לכבותה. — למרות כל הרעש בכתבי העתים שלח קיסר אשכנז את אחד מראשי שרי צבאיו הגדולים, הוא ה. פאן מאנטייפעל, נציב מדינות עלזאסס-לאטהרינגען, בלוית שרים רבים גדולים ונכבדים לקבל פני קיסר רוססלאנד יר״ה לעיר ווארשויא. — הקיסר היה בווארשא ביום העשרים ושמונה לירח העבר. כן יבא שר הצבא הרוסי הנודע ה. סקאבאלעף במלכות אדונו הקיסר לקעניגסבערג אל מפקד הצבא שיהי׳ שם בקרב הימים. אחרי שכתבנו הדברים ההם מודיעים כתבי העתים כי סוף סוף נתעוררו אלה מכה״ע בפעטערסבורג אשר רוח הממשלה דובר בם להשכיח השאון של מכתבי העתים בשנאתם לאשכנז. מכה״ע St. Petersburger Journal אומר בגליונו האחרון אדות הענין ההוא לאמר: „רבים מכתבי העת בארצנו מצטיינים עצמם בזמן האחרון בהראותם אותות שנאה ומשטמה נגד עם אשכנז בכלל, וכן נגד האשכנזים היושבים בממלכתנו וחסרים למשמעת ממשלתנו. כה״ע ההם מאמינים להראות על ידי פעולתם זאת את אהבתם לארץ מולדתם, אך שוגים הם ברואה. אם אין מקום לפעולה כזו בנוגע להפאליטיק החצונית, על אחת כמה וכמה אולת היא בנוגע לעניני הפאליטיק פנימה. אנחנו שואלים: „איזו תועלת תוכל להביא פעולה כזו אשר תתחרה להעיר קנאה ושנאה ולסכסך שתי ממלכות היושבות לבטח בשלום ושלוה? מפני זה מצאנו עצמנו מחויבים להודיע ברבים כי כל צעקת כתבי העתים ההם בהבל יסודה, ואין לה כל יסוד ורוח עם הרוססים בכלל איננה נוחה ממנה״! עכ״ל. גם מכתב העתי לממשלת רוססלאנד הנקרא בשם: „ציר הממשלה"" בגליונו מיום 29 לירח זה, מביא מאמר מיוחד אדות הענין ההוא אשר בו יוכיח וידבר קשות על כתבי העת שם המדברים סרה על אשכנז, ואומר: סגנון הלשון של כתבי העת בארצנו אשר בו מדברים אדות ענינים הפנימים של ממלכות אחרות ועל הפא- ליטיק החצונית שלהן, הסגנון ההוא לפעמים יעבור את גבול כות חרות הדפוס, ודברי כה״ע על ממשלות אחרות ושרי המלוכה העומדים בראשן עוברים חוק ומחטיאים המטרה. (עסטרייך-אונגארן). השר קאראלהי, מלאך עסטרייך. בחצר מלכות ענגלאנד מיאן לקבל עליו משרת השר אנדראשי לעמוד במקומו בראש שרי המלוכה בעסטרייך, ועתה שמו עינם בהשר היימערלע מלאך עסטרייך ברומא להפקידהו במקום אנ. דראשי, ולמטרה זו נצטוה לבא לוויען לשאת ולתת עמו בענין זה, ולא נודע איך יפול דבר; ואף אם עוד לא נתרצה גם הוא לזה, בכל זאת מאמינים כי סוף סוף יקבל את הפקודה הגבוהה ההיא. השר אנדראשי נסע לעיר גאסטיין לדבר שם עם הנשיא ביסמארק אדות עניני הפאליטיק. צבאות עסטרייך עוד לא תקעו יתדם במחוז נאוויבאזאר, אך כרגע תעשינה כל ההכנות הדרושות לזה. (טירקייא). המחלה היותר גדולה של מלכות תוגרמה היא כעת מחלת אין-כסף, תוצאותיה תתראינה שם בכל יום. כן מודיעים משם כי בימים האלה סוגרו שערי כל בית המיניסטריום לעניני המלחמה, יען מה? יען כל פקידי המיניסטריום ההוא חדלו מעשות מלאכתם מפני כי לא יקבלו שכרם זה זמן רב. הממשלה לא תדע עוד מה תבחר ותקרב למלא אוצרה הריק. הארץ נתרוששה ע""י המלחמה ויושביה לא יוכלו עוד לשלם מסים יותר מאשר שלמו עד היום כי כשל כח סבלם.  בנוגע לשאלת גריעכענלאנד סוף סוף נתאסף הועד של באי כח כל הממשלות האדירות יחד עם באי כח תוגרמה וגריכענ- לאנד לעשות סדרים גם בענין זה אשר עודנו תלוי ועומד עד היום. מכל הממשלות האדירות רק צרפת היא האחת העומדת לימין גריכענלאנד ומסכמת למשאלותיה לתת לה גם את העיר יאנינא, ושאר הממשלות אינן נכנסות כ״כ בעובי הקורה לטובת גריכענלאנד. בא כח תוגרמה הודיע אל הועד כי אמנם מוכנת ממשלתו לעשות סדרים גם בשאלה זו על פי האופנים אשר נדברו בהקאנגרעס בברלין, אך החליט כי אין הצדקה, להקאנ- גרעס וגם לא היה זה במחשבתו תהלה להכריח את תוגרמה ביד חזקה למלאות את רצונו, וכל מה שהחליט הקאנגרעס אדות גריכענלאנד היה רק בדרך עצה טובה. — ה. בערעסקו, שר ממשלת רומעניען, שב עתה ממסעותיו בכל חצרות המלכים בנוגע לשאלת היהודים, לפי הנשמע לא הצליח גם אליו להטות את הממשלות האדירות לחפצו, וכלן הודיעו לו כי עומדות בדעתן אשר מחויבת רומעניען להוציא לפעולת אדם את המעים המ״ד מספר הברית בברלין ביחוס שאלת היהודים, דבר לא נעדר. "
044-MGD-1879-09-03-PG001-SINGLE-ORIGNAME_230281_toc_6,דייטשלאנד," דייטשלאנד טילזיט, אלול תרל״ט. מה מאד ינעם לי להשמיע בקהל עם החדשה אשר נהיתה ובאה בעיר הזאת בקרב עדתנו. מה נורא הי׳ המקום הזה! מלפנים עת באתי בשעריה היו תהלוכות אזרחיה וגריה להיות כל איש משורר תפלתו בביתו ומדבר בלשון עמו באמצע התפלה כל סוחר מעסקיו מה לקרב אל המסחר ומה לרחק ממנו, וכהיום בע״ה שכרה עדת פאלען בית המדרש לעצמה, ומתפללים בכל יום בצבור שחרית מומ״ע ובין מנחה למעריב קבעו זמן ללמוד שיעור עין יעקב ושיעור חיי אדם. גם בבית הכנסת דאשכנזים מתפללים בכל יום שחרית בחבר עיר, ישכרו שבעה בטלנים, למען עם שלשת כלי קודש רח״ש יוכלו גם הם להתפלל בצבור, ובשמעי כל אלה מלאתי שמחה, ואומר לה בעבודתיך חיי! אשרך טילזיט כי הגעת למעלה כזו, כי אם תעריך תהלוכותיך הנוכחים נגד מנהגיך הקודמים נעלית במאד מאד ובין עבותים נהיתה צמרתך, כעת תהי׳ משוש אל באי מקומך. אמנם הלא תשאל קורא מי פעל זאת? ומי עשה לעדת טילזיט כל הכבוד הזה? כרם זכור אותו האיש לטוב ור׳ זוסמאנן ליפשיטץ שמו, הוא איש טוב, ורב פעלים, מוקיר רבנן, ממשפחת אפרתים, הוא שעטרה בעטרת תפארת העבודה, הוא אשר נכנס בעובי הקורה ללחום מלחמת ד׳ עם המתנגדים על זה, ראה זה חדש הוא אשר כבר לא הי׳ בעיר טילזיט איש אשר רוח אלקים בו לעמוד בפרץ הדת, יברכו ד׳ בברכה ושנות חיים ושלום ויתן לו משאלות לבו לטובה לבנות לנו בית נאמן מרוח ומהודר לכבוד המקום ולכבוד הכנסיה ולא יאמר אדם צר לי המקום שאתפלל בבית הזה. דברי הכותב יוסף טו״ב (איש רוססלאנד שוכן טילזיט)."
044-MGD-1879-09-03-PG001-SINGLE-ORIGNAME_230281_toc_7," עסטרייך-
אונגארען.","  עסטרייך- אונגארען. אשפצין י״א באב. אתמול הובל פה לקברות איש שוע ונכבד איש ישר ומטיב לכת הרבני הנגיד מו״ה שמשון צבי הלוי האבערפעלד ז״ל בששים ושמונה לימי חייו. אחד ועשרים שנה היה רועה את עדתנו וכל קהלות הקדש ממחוז וואדאוויטץ בתור ראש קהלות המחוז (קרייזפארשטע- הער) כי לפני פרידתן לרשות עצמן מאם העדה (מוטטערגע- מיינדע) אשפצין זה שנתים ימים היו נספחות לכל דבר שבקדושה לעדתנו. הוא היה עוסק בצרכי צבור באמונה ונשא עולם על צוארו, אולם מתן שכר שנכתב בצדו לא נתקיים בו, כי זה יותר משלש שנים מחלה עזה תקפתהו והתהפך על ערש דוי באין חפוגות ובעל כרחו חי כי התפלל על יום מותו ושש למצא קבר עד כי משמים נכמרו עליו ושלחו פדות לנפשו.— ארץ חגר ילדתהו העיר מיאווא גדלתהו ובגאליציען שבה נשמתו הטהרה למקורה. המנוח הנעלה הזה הצטיין במדה יתרה בצדקת פזרונו לבני משפחתו הקודמין לעניים אחרים הוא הי׳ משען עוז למו וגם לרבות עניי העיר החזיק במעוזו עד שנוכל לאמר עליו שהיה מופת לרבים ומחייב עשירי עירנו אשר לא כן עשו. בשנת 1866 כאשר שבו אנשי צבא עסטרייך משדה קטל סביבות עיר אשווענצים הקדימם בלחם ובשכר והשיג מאת אדוננו הקיסר יר״ה על פעולותיו הטובות את אות הכבוד (גאלדענעספערדיענסטקרייץ). — עתה קרוביו הרבים בוכים למשפחתיהם ובמר יצרחו על אבדן משגבם בעת צרה ואף שבמותו לא יקח הכל, כי הניח חונו וביתו לבניו, אבל מי יודע אם יצעדו בעקבות אביהם אשר בצרת משפחתו לו צר. כל אנשי העדה מקצה הלכו אחרי מטתו ובבית מועד לכל חי הספידו בהלכה הרב המ״ה שלמה האלבערשטאמס נכד הרב מצאנז זצ״ל אשר תקע אחלו פה עירנו. ואני תפלה שישלם ד׳ נחומים לאוהביו הרבים ולאשתו ובניו המתאבלים עליו ויקיץ  יחשוע שמעלץ. לקץ הימין תנצבה."
044-MGD-1879-09-03-PG001-SINGLE-ORIGNAME_230281_toc_8,"מ
ענגלאנד"," מ ענגלאנד מאנשעסטער סוף מנחם אב תרל״ט. אל המו״ל „המגיד״. זה כחמש עשרה שנה אשר יסדתי בע״ה פה קהלתנו חברת: „תומכי ירושלים"" עה״ק ת״ו ובכל בית אשר בעליו הי׳ מוכן לעזור בקודש הכינותי קופה. לראש החברה נבחר הרב המנוח כמה״ר דוד בר מאיר המכונה דאקטאר אייזיקס ז״ל ומדי שנה בשנה אספנו ושלחנו לעה״ק לערך 40 לירא שטערלינג ויותר, הכל לפי הזמן. — והנה בשנה זו גוע וימת ראש החבורה הנ״ל, ובקשנו את ה. השוע והנדיב, איש צדקות ומרבה להושיע, הנודע לשם ולתהלה בכל קצוי ארץ (אשר קצת ממעשי צדקותיו נזכר במכה״ע מגיד משנה בספור קורות חייו W. Aronsberg מוה׳ ר׳ זאב וואלף המכונה וויליאם אראנסבערג הי״ו, להיות לראש החבורה ובטובו ואהבתו לאה״ק ולהחוננים עפרה נדרש לבקשתנו, וביום שנתמנה בהסכם כל החבורה אמר כי ישמח על המשרה ההיא, להיות עומד בראש המתעסקים לטובת אחב״י האומללים באה״ק, ביתר שאת ועוז מאשר הי' שמח אם הי׳ נתמנה לשבת בין שרים ורוזני ארץ וכו׳, וכאשר הגיע לו קול הקורא מאה״ק ובלב נשבר ונדכא קרא מן הלחץ הגדול והרעב אשר יכביד אכפו על אחב״י בעה״ק, וימהר הוא והרב המאוה״ג מוה׳ זאב זוסמאן הכהן והרב הג׳ מהר״א תאומים ני׳ ובאו בברית יחד אל ביהמ״ד „מנורת המאור"" ויעירו בדבריהם חוצבי להבות אש את כל נדיבי עם לחומלה על עני עה״ק, ואח״כ עלה הבמתה השוע הנכבד הנ״ל ודרש לפניהם דברים כבושים בענין הצדקה בלשון המדינה, ולמחרת יום ההוא הלכו האדון והרב מהרוו״ז הנ״ל על פתחי נדיבים ואסף בערך 11 לירא שטערלינג, והגביר הנ״ל הניף ידו בעבודת הקודש ושלח כתבי בקשה הרבה לכל גבירי ונדיבי העם והשרים, ובל״ס דברי יעשו פרי אי""ה. שלמה יעקב בה״ר דובע״ר."
044-MGD-1879-09-03-PG001-SINGLE-ORIGNAME_230281_toc_9, רוסלאנד,"  רוסלאנד מאת ועד חברת מרבי השכלה בין יהודי רוסיא. פעטערסבורג. א) מסבות שונות אשר אינן תלויות בהועד, לא היה לאל ידו במשך איזה זמן לעבוד את עבודתו כיאות לטובת השכלת ישראל, וגם כמה מכתבים ספרים ומחברות מכתבי העתים אשר נשלחו על שם הועד לא הגיעו לידו. ועתה הוסרו כל המונעים והמכשולים מדרך חברת מרבי השכלה, ותשוב כעת אל עבודתה ופעולותיה כקדם. לכן יתכבד הועד להודיע לכל המחזיקים בברית חברת מרבי השכלה, ולכל האנשים אשר יהיה להם דבר אל החברה הזאת, כי מהיום והלאה יוכלו לכתוב על שם הועד כמאז ויגיע בטח לידו. ב) מסבות הנזכרות לא יכלו בעלי חברת מרבי השכלה להתאסף בשנה זאת באסיפה כללית, גם לא נסדר ולא נקרא החשבון מפעילות החברה לשנת 1878, כפי אשר הושם לחוק בתקנות חברתנו וכאשר הסכין הועד לעשות עד כה. ועתה ישתדל הועד להשלים את החסר, ובקרב הימים נקוה להציג את החשבון באסיפה כללית מאנשי החברה, וגם נדפס כפעם בפעם מעניני החברה במכתבי העתים לבני ישראל. ג) הועד יבוא כמזכיר למיסדי ומחזיקי בתי ספר לילדי העברים, או בתי אוצרות הספרים ליהודים וכדומה, אשר יפנו אל חברתנו בפעם הראשונה לבקש בתמיכת כסף או במשלוח ספרים ומה״ע, כי אם אינם ידועים הם לאנשי הועד מכבר, אזי נחוץ הוא להם להציג עם כתב בקשתם ביחד גם מכתב תעודה מבעלי חברת מרבי השכלה בעירם (או מעיר הקרובה אליהם), או מאנשים נכבדים אחרים הידועים להועד, לבד מכתב הזכות אשר בו תמלא הממשלה את ידם ליסד או להחזיק בית ספר, או בית אוצר הספרים וכדומה.. ד) מחשבון החלטות הועד בחדשי אפריל — מאי 1879 א. ענינים שונים. 1) חברי מחלקת החברה באודיסא הודיעו את הועד כי בחפצם לחדש את פעולותיהם, ולתכלית הזאת בחרו מקרבם מנהלים חדשים אשר יעמדו בראש המחלקה לנהל את עסקיה, וכעת יבקשו לשלוח להם את פרטי האופנים אשר התנה הועד עם בעלי המחלקה באודיסא. לבקשת אנשי הועד קבל על עצמו הועד ה׳ ראזענטהאל לכנום עם ראשי המחלקה בדברים ולשאת ולתת עמהם בענין הזה; ופרטי האופנים נשלחו להם. נקוה כי בפעם הזאת תעלה המחלקה ותצליח ותראה סימן ברכה בפעולותיה. 2) הרב דר׳ הילדעסהיימער, ראש בתי מדרש לרבנים בבערלין, הודיע את הועד כי בבית מדרשו ישמעו בלמודים גם תלמידים הבאים ממדינת רוסיא, ולכן מהראוי כי חברת מרבי השכלה תתמוך בכספה את בית המדרש הזה. והועד בקש את חברו ה׳ הרכבי להודיע להדר׳ הילסהיימער כי לעת כזאת אין לאל יד הועד לעשות מאומה בענין הזה, אולם ישים הדבר אל לבו לימים הבאים. 3) ה׳ ב. נאטהאנזאהן בקש מהועד לבוא בפעם שניה לעזרתו ולקנות ממנו בעד סך מסויים את ספרי הריב״ל אשר יצאו על יד לאור. והועד החליט לשאת ולתת בענין זה אחרי כלות ימי הקיץ, כאשר ישובו הנה איזה מהחברים אשר נסעו מפה, ולעת עתה קנה הועד לבית אוצרו מכל הספרים הנזכרים., 4) על פי הצעת אחד החברים הסכים הועד לבקש שנים מהחברים לנהל את עניני החברה במשך ירחי הקיץ, כי איזה מהחברים נסעו מזה ולא יוכלו להתאסף באסיפות הועד. 5) באחת מאסיפות הועד נמנו וגמרו למסור את הנהגת עסקי החברה בידי אחד מבעלי הועד, אשר יוציא את כל תקנות החברה והחלטות הועד מכח אל הפועל; ולבקשת יתר החברים נתרצה חבר הועד ה׳ הרכבי לקבל על עצמו את העבודה הזאת על משך זמן אשר יהיה אפשר לו. ב. בדבר עזרת בתי הספר ומורים ותלמידים. 1) הדירעקטור מבתי ספר להעם במינסק בקש מהועד לתמוך ביד המיסדים בית ספר חדש לבני עניי ישראל, אשר בו ילמדו הנערים גם חרושת המעשה ואומניות שונות; ואודות בית הספר הזה בקשו את הועד גם החברים לחברתנו במינסק, אשר כולם ישתדלו לטובת בית הספר גם שחדו לו מכחם, כי ה׳ א. ווענגרוב היה לראש באגודת המפקחים על עסקי בית הספר, והרב ה׳ הגלים הוא המוציא והמביא שם שלא על מנת לקבל פרס. הועד יקוה כי מפעולות האנשים הנכבדים האלה תצא תועלת גדולה, ולכן שלח ע״י ה׳ ווענגרוב מכספו סך מאתים רו״כ לטובת בית הספר הזה. 2) לבקשת הדירעקטור הנזכר שלם הועד סך מאה רו״כ לשכר מורה בשפת המדינה בתלמוד תורה דמינסק. 3) לבקשת מחזיק בית הספר לנערות ישראל בעיר טוקום, (בקורלאנד) ה׳ י. לעווינזאהן, אשר פעולתו מצאה חן גם בעיני בעלי פקודות הממשלה הממונים על עסקי הלמודיות, שלח לו הועד גם בשנה הזאת סך מאה רו״כ כמו בשנה העברה. 4) על פי תעודת הרב מצערניגוב ה׳ פריידין, אשר הציג לפני הועד חשבון פרטי מבית הספר לנערות אשר תחזיק האשה הופמאן, שלח הועד לנערות העניות ספרי למודיות בעד שלושים רובל כסף בבקשת הרב. 5) לבקשת מחזיק בית ספר לנערים בבאברויסק ה׳ צירלסאן נשלחו לו בעד בית ספרו ספרי למוד הגיוגרפיא. 6) לבקשת מורה זקן אחד ה׳ מ. אשר הקדיש יגיעו ועמלו גם לספרות היהודים, וכעת השעה רחוקה לו, שלח לו הועד מכספו סך חמשה ועשרים רו״כ, וחבר הועד ה׳ ראזענטהאל הוסיף מדיליה עוד עשרת רו""כ. 7) לבקשת מורה בבית ספר בפ״ב ה׳ פ. שלם הועד שכר הלמוד למחצית השנה השניה בעד בתו הבתולה השומעת בלמודים. 8) הועד מלא גם כן בקשת משכיל אחד מפ״ב ה׳ ש. אשר מטה ידו לשלם שכר למוד בנו בגימנאזיום החמישי, ואודות הדבר הזה בקש גם החבר הנכבד לחברתנו הפרופיסור ק. א. קוסוביץ. 9) לבקשת תלמיד בית מדרש הרבנים בברסלויא ה׳ פומעראנץ הנשלח מהועד להשתלם בלמודים שלם הועד גם להאוניוורסיטעט דשם את שכר למודיו. 10) לבקשת הדירעקטור מגימנאזיום הראשון בפ״ב שלם הועד סך חמשה עשר רו״כ המגיע מהתלמיד פורווער. 11) ה׳ ד. מקלימוביצי התאונן באזני הועד, כי הספרים ומה״ע הנשלחים מהועד על שם ה׳ נ. לא ישיגו מטרת הועד. אולם לפי הידיעות אשר הגיעו להועד אין כל יסוד לתלונה זאת, לכן לא הטה הועד אזן לדברי ה׳ ד׳, ויקוה כי ישתדל ה׳ ג. עוד יותר להסיר מעליו שמץ חשד בדבר זה. 12) איזה מנערות ישראל השומעות בלמודי האקדמיא לחכמת הרפואה בקשו מהועד לשלם בעדן שכר הלמודים, אולם הועד החליט להודיען כי לזה נוסדה חברה מיוחדת, והועד ישלם מכספו, לקופת החברה ההיא סך שלש מאות רו״כ לשנה, ולכן עליהן לפנות בבקשתן אל החברה ההיא. 13) באחת האסיפות מחדש מארט הציע חבר הועד ה׳ הרכבי ליסד קופה מיוחדת בחברתנו לתמיכת ידי המורים העניים, אשר נדחו מפקודת משמרתם בהסגר כמה מבתי הספר לישראל, ובעז המורים הזקנים אשר מטה ידם; ולמטרה הזאת הציע החבר הנזכר כי טוב יהיה אם ישמיע הועד קול קורא בענין הזה לכל מורי ישראל בארצנו, וגם אל האנשים האחרים אשר נדבה רוחם להביא את כסף תרומתם לדבר הנכבד הזה. ובחדש מאי הציג החבר הנ״ל את נוסח קול הקורא אשר ישר בעיני הועד והחליט לפרסמו ולהדפיסו במה״ע אחרי כלות ימי הקיץ."
044-MGD-1879-09-03-PG001-SINGLE-ORIGNAME_230281_toc_10,בולגאריען," בולגאריען רוסטשוק, ר״ח רחמים תרל״ט. לאדוני הרב מו״ל „המגיד״ שלום וברכה. אדוני-רם! מאז שמי ארץ רומע- ליען החלו להתקדר בענני המלחמה האחרונה, חלופים רבים, שנוים ונמרצים היו בארץ הזאת; גוים מגוים שונים עברו דרך ארצנו אשר לא הכרנום מתמול שלשום, ואנשים מדינים וסוחרים באו הנה מקצות הארץ כלאחת ערי המרכולת אשר באיוורופה, וע״כ במשך שנה וחצי, מאז סערת המלחמה קמה לדממה, כל איש הצליח בידו לכל הפחות למנות את אשר חסר לו לרגלי המלחמה, אחד המרבה ואחד והממעיט, אך לא כן עתה כי מזה ירה ימים אשר רגלי בני חיל הרוססים כלו מעמוד עוד על אדמת בולגאריען וילכו לבתיהם ולנויהם, דממה שוררת בכל דרכי המסחר והקנין, וכל שערי החנויות שוממים מבלי באים, ולא זאת בלבד כי גם אלפים מבני הטורקים יכתתו רגלם בכל יום ללכת מזה לדור באשר ימצאו באמרם כי קשה כשאול קנאה, ומוכרים בתיהם, שדיהם, וכרמיהם, בלא כסף ובלא מחיר. ומה יפלא בעיני קוראיך הנחמדים את אשר עשו הטורקים בעיר „ווידין"" כי בחפזם לנוס משם באין רודף נתנו בתיהם למאכולת אש, ומהם אשר הרסוס עד היסוד וישימום תלעולם. ככה בכל יום חדשים לבקרים בארצנו, אך מפני כי בעוד ימים אחדים בע״ה יהיו ימי הבחינה לילדי בית ספרנו טרוד אנכי מאד ולא אוכל להאריך, ולימי החופש והדרור אחר הבחינה כנהוג אודיעם לקוראיך בע״ה. והנני פורש סוכת שלומי להקוראים היקרים סלה. יצחק סילוניקייו ס״ט (מורה ש״ע בבי״ס הכללי)."
